제목,저자,역자,글그림,그림,기획,감수,글,출판사,출간일,가격,평점,리뷰수,상세페이지링크,페이지 수,카테고리,책설명
실패를 통과하는 일,박소령,,,,,,,북스톤,2025년 09월,18000,9.6,18,https://www.yes24.com/product/goods/152313889,336,국내도서 경제 경영 경영 기업 경영자스토리,"‘이 기록은 원래 공개되지 않을 예정이었다’   퍼블리 창업자가 10년간 써내려간 극사실주의 사업 노트《실패를 통과하는 일》은 콘텐츠 스타트업 ‘퍼블리(PUBLY)’를 창업해 10년간 이끌었던 박소령 창업자가 가감 없이 쓴 사업 노트다. 이 책은 유니콘 기업의 성공담도, 드라마틱한 엑시트 스토리도 아니다. 대신 잘못된 선택과 그 선택이 불러온 결과, 그 한가운데서 버텨야 했던 결정적 장면을 솔직하게 기록했다. 책은 10년 여정에서의 10개의 결정적 장면으로 구성된다. 각 장면에는 이성과 감정, 불안과 확신, 이상과 현실이 충돌하는 과정이 생생하게 담겨 있다. 화려한 포장 대신 오판과 후회, 책임의 무게가 페이지마다 드러난다. 동시에 그 모든 과정을 정면으로 마주한 사람만이 얻을 수 있는 단단한 통찰도 함께 녹아 있다. 이 책은 화려한 성공 신화에 지친 독자들에게, 실패와 흔들림 속에서도 계속 앞으로 나아가게 만드는 힘이 무엇인지 보여준다. 결과보다 과정, 포장보다 진실을 택한 이 책은 자신의 길 위에서 흔들리고 있는 모든 이에게 정직한 용기와 위로를 건넬 것이다."
무인역에서 널 기다리고 있어,이누준,이은혜,,,,,,알토북스,2025년 11월,16020,0.0,0,https://www.yes24.com/product/goods/159192044,352,국내도서 소설 시 희곡 일본소설 일본 장편소설,"시즈오카 서점 대상 ‘영화화하고 싶은 도서’ 부문 사상 최초 2회 수상 작가 이누준의 신작‘노을 열차’라는 신비로운 전설을 축으로여섯 인물이 겪는 상실과 치유의 드라마“그리운 사람을 다시 만난다면당신은 무슨 말을 하고 싶나요?”나누지 못했던 마음과차마 못다 한 이야기가여섯 개의 기적으로 피어나는 무인“다시는 만날 수 없는 그의 기억이 떠올라 눈물을 멈출 수 없었다.” - booklog.jp 독자 리뷰만약 세상에서 가장 그리운 사람을 한 번만 더 만날 수 있다면, 당신은 무슨 말을 건네고 싶은가. 누구나 마음속에 아직 끝맺지 못한 인연이 있다. 갑작스러운 사고로 떠나보낸 친구일 수도 있고, 너무 일찍 세상을 떠난 부모님일 수도 있으며, 다가올 미래를 함께 꿈꾸던 연인일 수도 있다. 그리움은 삶을 이어 가게 하는 힘이 되기도 하지만, 때로는 하루를 버티는 것조차 힘든 아픔이 되기도 한다. 하마나호수가 내려다보이는 인적이 드문 작은 무인, 슨자에는 오래전부터 전해 오는 전설이 있다. 붉은 노을이 하늘을 가득 채운 어느 녁, 가장 간절한 마음으로 그리운 이를 기다리면 노을 열차가 그 사람을 태우고 온다는 이야기다. 이 책은 바로 그 전설을 중심으로 여섯 사람의 이야기를 옴니버스식으로 담고 있다. 친구를 잃은 소녀는 끝내 하지 못한 말을 전하려 하고, 첫사랑을 잃은 여인은 과거에 묶인 자신을 풀어내기 위해 용기를 낸다. 노년의 여인은 젊은 시절 약혼자를 떠나보낸 기억과 화해하고, 아버지를 그리워하는 소녀는 외면해 온 현실을 마침내 받아들인다. 사랑하는 아내를 잃은 남자는 홀로 남겨진 삶의 무게를 견디며, 아들을 잃은 어머니는 차마 감당하지 못했던 슬픔과 마주한다.노을 열차는 이들에게 단순한 환상이 아니라, 슬픔을 직면하고 삶을 다시 이어 가게 하는 기적의 무대다. 잠시이지만 그 찰나의 만남을 통해 인물들은 마다의 상실을 다른 빛깔로 기억하게 된다. “괜찮아, 이제 나아가도 돼.” 누군가 남긴 이 한마디가 또 다른 삶의 발걸음을 내딛게 하고, “네가 잔소리라 부르던 건 사실은 사랑이었어.”라는 깨달음이 남은 시간을 전혀 다른 얼굴로 바꾸어 놓는다.감동적인 스토리와 반전, 눈물 나는 전개로 70만 독자를 열광시킨 베스트셀러 작가 이누준은 짧은 여섯 편의 이야기 속에서 상실을 겪은 사람이라면 누구나 공감할 만한 마음의 결을 정교하게 포착해 낸다. 이야기는 눈물로 시작하지만 결코 절망으로 끝나지 않는다. 오히려 독자는 그들의 상실 속에서 자기 자신의 얼굴을 발견하고, 기적 같은 재회를 통해 새로운 용기를 얻는다. 그리움은 끝내 사라지지 않지만, 다시 살아가게 하는 힘으로 변할 수 있다는 메시지가 조용히 가슴에 스며든다. 『무인에서 널 기다리고 있어』는 단순한 감동을 넘어 우리 안의 깊은 상처와 마주하게 하고, 동시에 살아가는 이유를 일깨워 준다. 이 책을 덮는 순간, 당신 마음에도 아직 기다리고 있는 누군가가 스쳐 지나갈지 모른다. 그 기억은 이제 아픔이 아닌, 앞으로의 삶을 비추는 따스한 빛이 되어 줄 것이다."
사이언스 2026,내셔널지오그래픽 키즈,"이한음, 김아림",,,,,,비룡소,2025년 10월,25200,0.0,0,https://www.yes24.com/product/goods/159168505,368,국내도서 어린이 1-2학년 1-2학년 학습 1-2학년 과학 환경,"2026년을 준비하는 초등학생을 위한 지식 트렌드 리포트올해의 과학·사·교양 토픽을 한 권에! 2026년에 초등학생이 꼭 알아야 할 필수 지식과 최신 정보를 두루 모은 『내셔널지오그래픽 키즈 사이언스 2026』가 ㈜비룡소에서 출간되었다. 이 책은 전 세계 28개국에서 23개 언어로 발간되는 최고의 다큐멘터리 매거진 「내셔널지오그래픽」의 어린이 책 출판 브랜드 ‘내셔널지오그래픽 키즈’의 간판 도서다. 2010년 미국에서 처음 출간된 이래 해마다 동물, 우주, 지구, 기술, 문화, 사, 지리, 환경 등 어린이가 꼭 알아야 할 지식을 골고루 선정하여 한 권으로 알차게 꾸린 종합 교양서다. 또한 영국, 독일, 인도, 싱가포르, 인도네시아, 이탈리아, 캐나다 등 세계의 어린이들이 함께 보는 세계적 스테디셀러이기도 하다."
세이노의 가르침,세이노(SayNo),,,,,,,데이원,2023년 03월,6480,9.0,2784,https://www.yes24.com/product/goods/117014613,736,국내도서 자기계발 처세술 삶의 자세,"재야의 명 『세이노의 가르침』 2023년판 정식 출간!순자산 천억 원대 자산가, 세이노의 ‘요즘 생각’을 만나다2000년부터 발표된 그의 주옥같은 글들. 독자들이 자발적으로 만든 제본서는 물론, 전자책과 앱까지 나왔던 『세이노의 가르침』이 드디어 전국 서점에서 독자들을 마주한다. 여러 판본을 모으고 자의 확인을 거쳐 최근 생각을 추가로 수록하였다. 정식 출간본에만 추가로 수록된 글들은 목차와 본문에 별도 표시하였다. 더 많은 사람이 이 책을 보고 힘을 얻길 바라기에 인세도 안 받는 자의  마음을 담아, 700쪽이 넘는 분량에도 7천 원 안팎에 책을 구매할 수 있도록 했다. 정식 출간 전자책 또한 무료로 선보인다.*필명 ‘세이노(Say No)’는 당신이 믿고 있는 것들에 ‘No!’를 외치고 제대로 살아가라는 뜻이다. 세이노는 지난 20여 년간 여러 칼럼을 통해 인생 선배로서 부와 성공에 대한 지혜와 함께 삶에 대한 체험적 지식을 나누어 주었다. 그래서 그의 글을 좋아하는 사람들은 그를 ‘세이노 스승님’이라 부른다."
달리기를 말할 때 내가 하고 싶은 이야기,무라카미 하루키,임홍빈,,,,,,문학사상,2009년 01월,13050,9.3,418,https://www.yes24.com/product/goods/3239082,양,국내도서 에세이 외국 에세이,"달리기에 대해 정직하게 쓴다는 것은나라는 인간에 대해서 정직하게 쓰는 일이기도 했다 - 무라카미 하루키서머싯 몸은 '어떤 면도의 방법에도 철학이 있다'라고 말했다. 아무리 하찮은 일이라도 매일 계속하다 보면 나름의 철학이 우러난다는 뜻일 게다. 하루키의 '달리기'도 마찬가지다. 마라톤 풀코스를 25회나 완주한 하루키에게 '달리기'란 삶이자 철학이다. 60세의 나이에도 지치지 않고 달리는 하루키의 열정이 고스란히 전해지는 이 글은, '달리기'에 관한 글이자 데뷔 30년을 맞은 그의 문학관과 인생관에 대한 글이기도 하다.달리기를 축으로 한 문학과 인생에 관한 최초의 회고록.'달린다'는 것은 하루키에게 문학과 삶을 향한 치열한 도전이었다! 하루키는 달리지 않았더라면 자신이 쓴 소설의 성향이 많이 달랐을지도 모른다고 고백한다. 달리는 소설가 하루키에게 있어 '달린다는 것'의 의미는 무엇일까?  하고많은 운동 중에 하필 고투와 시련으로 가득 찬 마라톤을 선택한 이유는 무엇일까? 마라톤을 중심으로 그의 문학과 삶을 솔직하게 털어놓는 이 최초의 회고록에서 우리는 초로의 나이에도 1년에 한 번은 마라톤 풀코스를 뛰는 열정과 근성의 하루키와 만난다. 인생을 살면서 우리가 꼭 배워야 할 마음가짐과 실천의 지표가 하루키의 달리는 인생 속에 녹아 있다."
돈의 속성 400쇄 리커버,김승호,,,,,,,스노우폭스북스,2020년 06월,16020,9.5,1828,https://www.yes24.com/product/goods/90428162,415,국내도서 경제 경영 투자 재테크 재테크일반,"2020 · 2021 · 2022 · 2023 · 2024 5년 연속 최장기 베스트셀러 120만 깨어있는 독자들이 선택한 경제경영 필독서 『돈의 속성』▶ 『돈의 속성』 400쇄 기념 개정증보판 발행!▶ 중국, 일본, 대만, 태국, 베트남 5개국 출간!이 책은 초판 발행 후, 경제경영 필도서로 자리매김한 『돈의 속성』 400쇄 기념 개정증보판이다. 『돈의 속성』은 3년 전 어느 극장 하나를 빌려 대중에게 강의했던 내용을 기반으로 집필됐다. 강연은 방송을 통해 전파되며 유튜브와 셀럽들에 의해 공유와 전파를 거듭했다. 그리고 이내 1,100만 명에게 전달되기에 이르렀다. 하지만 여러 사람을 통해 생산 및 재생산되는 과정에서 어떤 의미는 그 뜻이 정확히 전달되지 않았거나 의미가 왜곡되는 일이 있었다. 몇 권을 술한 자지만 여전히 책 쓰기가 가장 어렵다는 그는 이런 상황에서 다시 한 번 펜을 잡기로 결정했다. 그것은 그의 내면에 깃든 사람에 대한 애정 때문이었다. 모두에게 정말 필요하고 중요하지만 아무도 말하지 않는 진짜 돈 버는 방법, 진짜 돈을 벌어본 사람은 그 누구도 방법을 공유하지 않기에 이 일이 자 자신에게 주어진 것이라 받아들였다. 젊은 날의 자신의 모습이 투영되기에.어떤 횡재나 일명 대박주식 없이 말 그대로 맨손에서 만들어낸 종잣돈으로 돈 버는 방법을 알려준다. 부모에게 받은 유산은커녕, 30대 후반까지 낡은 자동차에 그날 판매할 과일을 싣고 다니던 어느 가난한 이민 가장이 이룬 진짜 부에 대한 모든 방법이 담겼다. 종잣돈 천만 원을 만들고 그 돈을 1억 원, 10억 원, 100억 원, 수천억 원이 될 때까지 돈을 관리하며 터득한 ‘돈’이 가진 속성을 정리한 안내서다. ‘진짜 부자’가 된 실제 인물이 말해주는 ‘진짜 돈’만들기에 대한 책이다. 돈이 가진 속성과 75가지 돈에 대한 가르침을 통해 현재 200만 원을 벌고 있는 직장인, 마이너스 생활 중인 누군가, 직장이 없는 청년, 가용자금이 있고 투자처를 찾고 있는 사람이나 그 너머까지 돈을 운용할 수 있는 재력가와 투자가, 사업가 또는 ‘우리 아이들에게만큼은 더 이상 가난을 물려줄 수 없다’는 부모…, 그 누구라도 자신에게 꼭 필요한 조언을 찾을 수 있다는 점이 이 책의 가장 큰 장점이다."
설민석의 삼국지 대모험 24,단꿈아이,,,스튜디오 담,,,,단꿈아이,2025년 10월,12600,10.0,28,https://www.yes24.com/product/goods/159494533,152,국내도서 어린이 3-4학년 3-4학년 만화 애니메이션 3-4학년 사 인물만화,"누적 판매 50만 부 돌파! 대만 판권 수출! 세계로 나아가는 베스트셀러 시리즈!삼국지는 약 1,800년 전 중국 삼국 시대의 사를 바탕으로 창작된 이야기입니다. 혼란한 세상 속에서 꿈을 펼치며 나아간 영웅들의 용기와 지혜가 담겨 있어 오랜 시간 동안 사랑받고 있지요. 〈설민석의 삼국지 대모험〉은 그런 삼국지를 처음 접하는 어린이들도 재미있게 읽을 수 있도록 새롭게 엮은 책입니다. 〈설민석의 삼국지 대모험〉 24권에서는 이릉 대전에서 패하고 후퇴하는 유비의 이야기가 등장합니다. 깊은 죄책감에 빠져 힘을 잃어 가는 유비와 그의 뜻을 이어받아 출사표를 던진 제갈공명의 이야기까지! 과연 촉나라의 운명은 어떻게 될까요? 읽는 내내 손에 땀을 쥐게 하는 〈설민석의 삼국지 대모험〉에서 영웅들의 용기와 지혜를 두루 얻길 바랍니다."
체인소 맨 16,후지모토 타츠키,,,,,,,학산문화사,2024년 05월,5400,9.8,170,https://www.yes24.com/product/goods/126437970,0,없음,책소개 없음
체인소 맨 14,후지모토 타츠키,,,,,,,학산문화사,2023년 11월,5400,9.8,261,https://www.yes24.com/product/goods/123400327,0,없음,책소개 없음
작별하지 않는다,한강,,,,,,,문학동네,2021년 09월,15120,9.6,2427,https://www.yes24.com/product/goods/103495056,332,국내도서 소설 시 희곡 한국소설 한국 장편소설,"2023 프랑스 메디치 외국문학상 수상무엇을 생각하면 견딜 수 있나.가슴에 활활 일어나는 불이 없다면.기어이 돌아가 껴안을 네가 없다면.이곳에 살았던 이들로부터, 이곳에 살아 있는 이들로부터꿈처럼 스며오는 지극한 사랑의 기억2016년 『채식주의자』로 인터내셔널 부커상을 수상하고 2018년 『흰』으로 같은 상 최종 후보에 오른 한강 작가의 5년 만의 신작 장편소설 『작별하지 않는다』가 출간되었다. 2019년 겨울부터 이듬해 봄까지 계간 『문학동네』에 전반부를 연재하면서부터 큰 관심을 모았고, 그뒤 일 년여에 걸쳐 후반부를 집필하고 또 전체를 공들여 다듬는 지난한 과정을 거쳐 완성되었다. 본래 「눈 한 송이가 녹는 동안」(2015년 황순원문학상 수상작), 「작별」(2018년 김유정문학상 수상작)을 잇는 ‘눈’ 3부작의 마지막 작품으로 구상되었으나 그 자체 완결된 작품의 형태로 엮이게 된바, 한강 작가의 문학적 궤적에서 『작별하지 않는다』가 지니는 각별한 의미를 짚어볼 수 있다. 이로써 『소년이 온다』(2014), 『흰』(2016), ‘눈’ 연작(2015, 2017) 등 근작들을 통해 어둠 속에서도 한줄기 빛을 향해 나아가는 인간의 고투와 존엄을 그려온 한강 문학이 다다른 눈부신 현재를 또렷한 모습으로 확인할 수 있게 되었다. 오래지 않은 비극적 사의 기억으로부터 길어올린, 그럼에도 인간을 끝내 인간이게 하는 간절하고 지극한 사랑의 이야기가 눈이 시리도록 선연한 이미지와 유려하고 시적인 문장에 실려 압도적인 아름다움으로 다가온다."
